Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2022-11-08T13:21:00+00:00,51.551894,-0.299709,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-08 13:21:00+00:00
Person search,2022-11-08T13:25:00+00:00,51.599585,-0.251059,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,2022-11-08 13:25:00+00:00
Person search,2022-11-08T13:29:00+00:00,51.398814,-0.097688,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 13:29:00+00:00
Person search,2022-11-08T13:35:00+00:00,51.588684,-0.06072,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 13:35:00+00:00
Person search,2022-11-08T13:38:00+00:00,51.573147,0.074646,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 13:38:00+00:00
Person search,2022-11-08T13:42:00+00:00,51.47309,-0.070524,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 13:42:00+00:00
Person search,2022-11-08T13:44:00+00:00,51.528201,-0.454529,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 13:44:00+00:00
Person search,2022-11-08T13:44:00+00:00,51.511312,-0.136326,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2022-11-08 13:44:00+00:00
Person and Vehicle search,2022-11-08T13:44:00+00:00,51.527535,-0.455806,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 13:44:00+00:00
Person search,2022-11-08T13:44:00+00:00,51.47309,-0.070524,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 13:44:00+00:00
Person search,2022-11-08T13:45:00+00:00,51.507127,-0.265682,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 13:45:00+00:00
Person search,2022-11-08T13:47:00+00:00,51.507127,-0.265682,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 13:47:00+00:00
Person search,2022-11-08T13:52:00+00:00,51.588684,-0.06072,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 13:52:00+00:00
Person and Vehicle search,2022-11-08T13:56:00+00:00,51.364234,-0.110312,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 13:56:00+00:00
Person search,2022-11-08T14:24:00+00:00,51.542107,-9.9e-05,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 14:24:00+00:00
Person search,2022-11-08T14:25:00+00:00,51.58682,0.085028,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,,,2022-11-08 14:25:00+00:00
Person search,2022-11-08T14:27:00+00:00,51.470774,-0.366079,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 14:27:00+00:00
Person search,2022-11-08T14:30:00+00:00,51.588684,-0.06072,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 14:30:00+00:00
Person search,2022-11-08T14:34:00+00:00,51.534861,-0.147,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 14:34:00+00:00
Person and Vehicle search,2022-11-08T14:35:00+00:00,51.339145,-0.119255,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2022-11-08 14:35:00+00:00
Person search,2022-11-08T14:42:00+00:00,51.588684,-0.06072,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 14:42:00+00:00
Person search,2022-11-08T14:43:00+00:00,51.448456,-0.428642,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 14:43:00+00:00
Person search,2022-11-08T14:50:00+00:00,51.491312,-0.143091,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 14:50:00+00:00
Person search,2022-11-08T15:00:00+00:00,51.519073,-0.171222,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,,,2022-11-08 15:00:00+00:00
Person search,2022-11-08T15:05:00+00:00,51.450287,-0.409064,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 15:05:00+00:00
Person search,2022-11-08T15:05:00+00:00,51.560303,-0.258077,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2022-11-08 15:05:00+00:00
Person search,2022-11-08T15:05:00+00:00,51.502933,-0.222774,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 15:05:00+00:00
Person search,2022-11-08T15:11:00+00:00,51.560303,-0.258077,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 15:11:00+00:00
Person search,2022-11-08T15:15:00+00:00,51.491312,-0.143091,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 15:15:00+00:00
Person and Vehicle search,2022-11-08T15:18:00+00:00,51.551894,-0.299709,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-08 15:18:00+00:00
Person and Vehicle search,2022-11-08T15:20:00+00:00,51.551894,-0.299709,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-08 15:20:00+00:00
Person search,2022-11-08T15:20:00+00:00,51.549464,-0.106396,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 15:20:00+00:00
Person and Vehicle search,2022-11-08T15:30:00+00:00,51.545323,0.030978,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 15:30:00+00:00
Person and Vehicle search,2022-11-08T15:30:00+00:00,51.545323,0.030978,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-08 15:30:00+00:00
Person and Vehicle search,2022-11-08T15:30:00+00:00,51.551894,-0.299709,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-08 15:30:00+00:00
Person search,2022-11-08T15:34:00+00:00,51.523707,-0.203385,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,2022-11-08 15:34:00+00:00
Person search,2022-11-08T15:42:00+00:00,51.400999,0.017404,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-08 15:42:00+00:00
Person search,2022-11-08T15:42:00+00:00,51.574897,-0.013496,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 15:42:00+00:00
Person and Vehicle search,2022-11-08T15:45:00+00:00,51.352558,-0.085171,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 15:45:00+00:00
Person search,2022-11-08T15:49:00+00:00,51.588684,-0.06072,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 15:49:00+00:00
Person search,2022-11-08T15:55:00+00:00,51.495991,0.118631,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 15:55:00+00:00
Person search,2022-11-08T15:56:00+00:00,51.533007,-0.07373,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 15:56:00+00:00
Person search,2022-11-08T15:59:00+00:00,51.588684,-0.06072,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 15:59:00+00:00
Person and Vehicle search,2022-11-08T16:10:00+00:00,51.541055,0.073951,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 16:10:00+00:00
Person and Vehicle search,2022-11-08T16:13:00+00:00,51.589538,-0.072884,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 16:13:00+00:00
Person search,2022-11-08T16:14:00+00:00,51.487072,-0.096293,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-08 16:14:00+00:00
Person search,2022-11-08T16:14:00+00:00,51.627392,-0.058464,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),,,2022-11-08 16:14:00+00:00
Person search,2022-11-08T16:15:00+00:00,51.557771,-0.08245,Male,under 10,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-08 16:15:00+00:00
Person search,2022-11-08T16:23:00+00:00,51.463549,-0.169815,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-08 16:23:00+00:00
Person search,2022-11-08T16:23:00+00:00,51.478918,-0.162571,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-08 16:23:00+00:00
