WD21CD,WD21NM,base_weighted_risk,population,average_risk_score_2025,stadium_risk_factor,explanation,enhanced_weighted_risk,risk_proportion,allocated_hours,officers_needed,base_officers,officer_change
E05000193,Bowes,68877.2605103,8421,8.0211810875,1.0,No stadium influence,68877.2605103,0.0011399670727621578,145.2318050698989,73,73,0
E05000194,Bush Hill Park,97079.371651,8914,11.205013222222222,1.0,No stadium influence,97079.371651,0.0016067318343770472,204.6976356996358,102,102,0
E05000195,Chase,91687.76504999999,8052,11.20450075,1.0,No stadium influence,91687.76504999999,0.0015174969555666743,193.3291121391943,97,97,0
E05000196,Cockfosters,93708.2327755,9166,10.5710370625,1.0,No stadium influence,93708.2327755,0.0015509371165368427,197.58938864679376,99,99,0
E05000197,Edmonton Green,161009.4120885,12111,12.22339425,1.0,No stadium influence,161009.4120885,0.0026648189377136405,339.4979326647178,170,170,0
E05000198,Enfield Highway,178904.571428,14938,11.697324666666667,1.0,No stadium influence,178904.571428,0.0029609964026378094,377.2309416960569,189,189,0
E05000199,Enfield Lock,136586.210463,12358,11.799625666666666,1.0,No stadium influence,136586.210463,0.002260597784633115,288.0001577622589,144,144,0
E05000200,Grange,95687.59472300002,8218,11.309321,1.0,No stadium influence,95687.59472300002,0.001583696947989358,201.7629911738442,101,101,0
E05000201,Haselbury,126803.24039430001,14448,8.71223552,1.0,No stadium influence,126803.24039430001,0.0020986827539029368,267.37218284723417,134,134,0
E05000202,Highlands,114109.08985209999,13300,9.3525659125,1.0,No stadium influence,114109.08985209999,0.0018885856401736542,240.60581055812355,120,120,0
E05000203,Jubilee,103676.32669,10679,9.752337555555556,1.0,No stadium influence,103676.32669,0.0017159160770318172,218.6077082138535,109,109,0
E05000204,Lower Edmonton,109812.579341,11495,9.697082722222222,1.0,No stadium influence,109812.579341,0.0018174753713542655,231.54636231053342,116,116,0
E05000205,Palmers Green,126461.2617054,13011,9.783906155555556,1.0,No stadium influence,126461.2617054,0.002093022766237282,266.6511004186297,133,133,0
E05000206,Ponders End,117181.0052035,10093,12.372855414285713,1.0,No stadium influence,117181.0052035,0.0019394279983766917,247.08312699319052,124,124,0
E05000207,Southbury,136979.28531479998,13719,10.1211703375,1.0,No stadium influence,136979.28531479998,0.0022671034497083954,288.82897949284956,144,144,0
E05000208,Southgate,72801.095092,8138,8.886387428571428,1.0,No stadium influence,72801.095092,0.0012049092930096453,153.50544392942882,77,77,0
E05000209,Southgate Green,109304.4693736,10494,10.217417633333334,1.0,No stadium influence,109304.4693736,0.0018090657942618138,230.47498218895507,115,115,0
E05000210,Town,126821.25534899998,11176,11.3033357,1.0,No stadium influence,126821.25534899998,0.0020989809140652765,267.4101684519162,134,134,0
E05000211,Turkey Street,128058.535938,10912,11.37314175,1.0,No stadium influence,128058.535938,0.0021194587774526694,270.0190482474701,135,135,0
E05000212,Upper Edmonton,221957.596387,18095,12.3080392,1.0,No stadium influence,221957.596387,0.0036735542261117555,468.01080840663764,234,234,0
E05000213,Winchmore Hill,107737.86810200001,10465,10.79353625,1.0,No stadium influence,107737.86810200001,0.0017831374421098832,227.17171012479912,114,114,0
E05000214,Abbey Wood,107767.24235799999,9391,10.524759622222222,1.0,No stadium influence,107767.24235799999,0.001783623606692777,227.2336474926598,114,114,0
E05000215,Blackheath Westcombe,124464.3857505,13527,9.3017895625,1.0,No stadium influence,124464.3857505,0.0020599730656523396,262.44056856410805,131,131,0
E05000216,Charlton,87790.995585,8658,10.3863345625,1.0,No stadium influence,87790.995585,0.0014530026820236562,185.1125416898138,93,93,0
E05000217,Coldharbour and New Eltham,89137.4322875,9878,9.3158153,1.0,No stadium influence,89137.4322875,0.0014752871558113287,187.9515836503633,94,94,0
E05000218,Eltham North,94281.8687216,9685,9.2561578875,1.0,No stadium influence,94281.8687216,0.0015604311946326023,198.79893419619353,99,99,0
E05000219,Eltham South,81324.714802,8644,10.054593142857144,1.0,No stadium influence,81324.714802,0.0013459811901518595,171.4780036253469,86,86,0
E05000220,Eltham West,48561.106359100006,5841,8.03100896,1.0,No stadium influence,48561.106359100006,0.0008037204420753163,102.39398432039529,51,51,0
E05000221,Glyndon,102873.3489397,13182,7.6884434,1.0,No stadium influence,102873.3489397,0.00170262623088055,216.91458181418207,108,108,0
E05000222,Greenwich West,75549.2738175,6875,12.0401667,1.0,No stadium influence,75549.2738175,0.0012503935825113595,159.3001424119472,80,80,0
E05000223,Kidbrooke with Hornfair,90607.774774,9562,9.5162275,1.0,No stadium influence,90607.774774,0.0014996223574130618,191.05188833442406,96,96,0
E05000224,Middle Park and Sutcliffe,85400.0801566,9316,9.157093788888888,1.0,No stadium influence,85400.0801566,0.001413431351196301,180.07115414240874,90,90,0
E05000225,Peninsula,82486.4550765,5826,13.2500909,1.0,No stadium influence,82486.4550765,0.0013652088082397424,173.92760216974318,87,87,0
E05000226,Plumstead,117198.5789312,11294,10.18955131111111,1.0,No stadium influence,117198.5789312,0.0019397188559220596,247.12018224447039,124,124,0
E05000227,Shooters Hill,81663.9233912,9906,8.4431226,1.0,No stadium influence,81663.9233912,0.001351595330720477,172.19324513378876,86,86,0
E05000228,Thamesmead Moorings,155215.8506206,17030,8.560989063636363,1.0,No stadium influence,155215.8506206,0.002568931423336643,327.2818633330883,164,164,0
E05000229,Woolwich Common,135214.8903743,13355,10.69440613,1.0,No stadium influence,135214.8903743,0.0022379014733142077,285.10864770023005,143,143,0
E05000230,Woolwich Riverside,103609.79195500001,10861,10.53459975,1.0,No stadium influence,103609.79195500001,0.0017148148804027265,218.46741576330734,109,109,0
E05000250,Addison,133564.162084,13443,9.880957714285714,1.0,No stadium influence,133564.162084,0.002210580759872976,281.62798880781713,141,141,0
E05000251,Askew,98648.1075486,10323,10.006183075,1.0,No stadium influence,98648.1075486,0.001632695516089629,208.0054087498187,104,104,0
E05000252,Avonmore and Brook Green,82333.92001449999,9263,9.067724375000001,1.0,No stadium influence,82333.92001449999,0.0013626842457523053,173.60597290884368,87,87,0
E05000253,College Park and Old Oak,41905.0026981,3277,12.5487472,1.0,No stadium influence,41905.0026981,0.000693557248153035,88.35919341469666,44,44,0
E05000254,Fulham Broadway,75028.741029,6532,10.425657357142857,1.0,No stadium influence,75028.741029,0.0012417783989981544,158.20256803236487,79,79,0
E05000255,Fulham Reach,89507.4854037,8784,10.32795047142857,1.0,No stadium influence,89507.4854037,0.0014814117949812902,188.73186268061636,94,94,0
E05000256,Hammersmith Broadway,168719.051886,10077,13.64918425,1.0,No stadium influence,168719.051886,0.002792418895187159,355.754167246844,178,178,0
E05000257,Munster,63524.399724099996,6334,10.662834828571429,1.0,No stadium influence,63524.399724099996,0.0010513734644197463,133.9449793670757,67,67,0
E05000258,North End,81677.666256,8246,9.898585285714287,1.0,No stadium influence,81677.666256,0.0013518227847922758,172.22222278253594,86,86,0
E05000259,Palace Riverside,42321.3337151,4585,9.228235000000002,1.0,No stadium influence,42321.3337151,0.0007004478191082869,89.23705215439576,45,45,0
E05000260,Parsons Green and Walham,82703.870283,8230,10.040414285714286,1.0,No stadium influence,82703.870283,0.0013688071827205439,174.3860350785973,87,87,0
E05000261,Ravenscourt Park,92813.310703,9052,10.147890571428572,1.0,No stadium influence,92813.310703,0.0015361255272288517,195.7023921689557,98,98,0
E05000262,Sands End,61557.6218886,7394,8.345290057142858,1.0,No stadium influence,61557.6218886,0.0010188219088657455,129.79791118949598,65,65,0
E05000263,Shepherd's Bush Green,115160.6725865,7343,16.199790928571428,1.0,No stadium influence,115160.6725865,0.0019059900735471614,242.82313536990836,121,121,0
E05000264,Town,109188.53336,9644,11.123887428571427,1.0,No stadium influence,109188.53336,0.001807146971749534,230.23052420089064,115,115,0
E05000265,Wormholt and White City,88339.6618754,10943,8.231397175,1.0,No stadium influence,88339.6618754,0.0014620834947673197,186.2694372333565,93,93,0
E05000266,Alexandra,77219.9872422,9067,8.6330523,1.0,No stadium influence,77219.9872422,0.001278045063973734,162.8229411502537,81,81,0
E05000267,Bounds Green,91137.67012560001,9380,9.242889457142857,1.0,No stadium influence,91137.67012560001,0.0015083924979261763,192.16920423579487,96,96,0
E05000268,Bruce Grove,74697.19668559999,8659,9.1410365375,1.0,No stadium influence,74697.19668559999,0.001236291107084446,157.50348704255842,79,79,0
E05000269,Crouch End,104673.74089300001,7823,13.109335,1.0,No stadium influence,104673.74089300001,0.0017324239831375673,220.71081545172606,110,110,0
E05000270,Fortis Green,93000.024753,8380,11.577361357142857,1.0,No stadium influence,93000.024753,0.0015392157759908543,196.09608986123484,98,98,0
E05000271,Harringay,106176.164165,9207,11.393822428571427,1.0,No stadium influence,106176.164165,0.0017572901442877403,223.8787643822581,112,112,0
E05000272,Highgate,140963.13776800002,10227,13.388642142857142,1.0,No stadium influence,140963.13776800002,0.0023330390079135833,297.2291696081905,149,149,0
E05000273,Hornsey,63372.8666341,6557,9.392264814285713,1.0,No stadium influence,63372.8666341,0.001048865485273159,133.62546282380046,67,67,0
E05000274,Muswell Hill,82568.586457,8843,9.343881714285715,1.0,No stadium influence,82568.586457,0.001366568140314172,174.10078107602553,87,87,0
E05000275,Noel Park,116124.191608,9638,11.351835825,1.0,No stadium influence,116124.191608,0.0019219369905753981,244.85477259930573,122,122,0
E05000276,Northumberland Park,194124.793376,12197,15.713862375,1.0,No stadium influence,194124.793376,0.0032129017736166284,409.32368595875846,205,205,0
E05000277,St Ann's,92457.0501376,9168,9.934668075,1.0,No stadium influence,92457.0501376,0.0015302291644689117,194.95119555333935,97,97,0
E05000278,Seven Sisters,95415.333339,10362,9.604218555555555,1.0,No stadium influence,95415.333339,0.0015791908307215513,201.18891183392563,101,101,0
E05000279,Stroud Green,134810.5741653,13617,10.112131957142855,1.0,No stadium influence,134810.5741653,0.0022312097558761265,284.2561228986185,142,142,0
E05000280,Tottenham Green,121002.771356,9256,12.9367705,1.0,No stadium influence,121002.771356,0.0020026809143807393,255.14154849210618,128,128,0
E05000281,Tottenham Hale,114462.093895,9148,12.602020714285715,1.0,No stadium influence,114462.093895,0.0018944281051973284,241.35014060213965,121,121,0
E05000282,West Green,99301.9900085,9814,10.1999899625,1.0,No stadium influence,99301.9900085,0.001643517730391129,209.38415885182982,105,105,0
E05000283,White Hart Lane,107265.64482449999,11665,9.2309393125,1.0,No stadium influence,107265.64482449999,0.0017753218149587227,226.17599922574126,113,113,0
E05000284,Woodside,69952.828257,7963,8.8718418125,1.0,No stadium influence,69952.828257,0.001157768474947421,147.49970370830144,74,74,0
