Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person and Vehicle search,2021-04-08T13:59:00+00:00,51.482348,-0.07405,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 13:59:00+00:00
Person search,2021-04-08T14:00:00+00:00,51.51145,-0.007956,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:00:00+00:00
Person search,2021-04-08T14:00:00+00:00,51.560795,-0.278645,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 14:00:00+00:00
Person search,2021-04-08T14:00:00+00:00,51.56888,-0.001262,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 14:00:00+00:00
Person search,2021-04-08T14:00:00+00:00,51.456965,0.154648,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:00:00+00:00
Person search,2021-04-08T14:00:00+00:00,51.491071,-0.22508,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 14:00:00+00:00
Person and Vehicle search,2021-04-08T14:00:00+00:00,51.549626,-0.054738,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 14:00:00+00:00
Person search,2021-04-08T14:00:00+00:00,51.562673,-0.279743,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:00:00+00:00
Person search,2021-04-08T14:00:00+00:00,51.562673,-0.279743,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:00:00+00:00
Person and Vehicle search,2021-04-08T14:02:00+00:00,51.525017,-0.035504,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2021-04-08 14:02:00+00:00
Person search,2021-04-08T14:05:00+00:00,51.502554,-0.370677,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 14:05:00+00:00
Person search,2021-04-08T14:07:00+00:00,51.483903,0.150473,Female,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:07:00+00:00
Person search,2021-04-08T14:10:00+00:00,51.504462,-0.017454,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,,,2021-04-08 14:10:00+00:00
Person search,2021-04-08T14:10:00+00:00,51.562673,-0.279743,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 14:10:00+00:00
Person search,2021-04-08T14:10:00+00:00,51.504462,-0.017454,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,,,2021-04-08 14:10:00+00:00
Person search,2021-04-08T14:10:00+00:00,51.562673,-0.279743,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:10:00+00:00
Person search,2021-04-08T14:10:00+00:00,51.557637,-0.074839,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2021-04-08 14:10:00+00:00
Person search,2021-04-08T14:10:00+00:00,51.549626,-0.054738,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 14:10:00+00:00
Person search,2021-04-08T14:11:00+00:00,51.475828,-0.147695,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:11:00+00:00
Person search,2021-04-08T14:12:00+00:00,51.550699,-0.131832,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 14:12:00+00:00
Person search,2021-04-08T14:15:00+00:00,51.534841,0.034419,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2021-04-08 14:15:00+00:00
Person search,2021-04-08T14:15:00+00:00,51.627656,-0.050535,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:15:00+00:00
Person search,2021-04-08T14:15:00+00:00,51.502554,-0.370677,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:15:00+00:00
Person search,2021-04-08T14:16:00+00:00,51.534841,0.034419,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:16:00+00:00
Person search,2021-04-08T14:20:00+00:00,51.563573,0.067299,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:20:00+00:00
Person search,2021-04-08T14:20:00+00:00,51.519978,0.196815,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 14:20:00+00:00
Person search,2021-04-08T14:20:00+00:00,51.597685,0.20787,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:20:00+00:00
Person search,2021-04-08T14:20:00+00:00,51.518122,0.190283,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 14:20:00+00:00
Person search,2021-04-08T14:20:00+00:00,51.45916,-0.141186,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:20:00+00:00
Person search,2021-04-08T14:20:00+00:00,51.536833,0.037276,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 14:20:00+00:00
