years_of_data,radius_km,team,venue,borough,total_burglaries,unique_lsoas,data_months,match_months,no_match_months,avg_burglary_match,avg_burglary_no_match,difference,percentage_change,t_statistic,p_value_ttest,p_value_mann_whitney,cohens_d,effect_size,significant_ttest,significant_mann_whitney,correlation_matches_burglary,correlation_attendance_burglary,correlation_goals_burglary
5,10,Tottenham,Wembley Stadium,Haringey,55246,1227,50,38,12,1112.5,1080.9166666666667,31.583333333333258,2.921902706036536,0.7782089070741759,0.44026519569002553,0.5777932491154012,0.25769071949399247,Small,False,False,-0.08955862634393703,0.04865767665354622,0.13130192381600336
5,10,West Ham,London Stadium,Newham,88265,1768,50,38,12,1774.5,1736.1666666666667,38.33333333333326,2.207929346260915,0.7940329403036512,0.43108443803965246,0.6252528416977745,0.2629305805019206,Small,False,False,-0.10671951164103799,0.0270723433259154,0.05760454150891946
8,2,Arsenal,Emirates Stadium,Islington,10824,131,80,67,13,139.0597014925373,115.92307692307692,23.13662456946038,19.958601154809884,2.414943588452453,0.01807875437776364,0.019545742929042827,0.7318851010818186,Medium,True,True,0.15519322418222603,0.2876613641190487,0.16344119909211402
8,2,Chelsea,Stamford Bridge,Hammersmith and Fulham,10022,131,80,68,12,128.61764705882354,106.33333333333333,22.284313725490208,20.95703485155819,2.867753856959637,0.0053145445539307355,0.008416174655642112,0.8979285630406258,Large,True,True,0.15694044107726027,0.34548764982640917,0.1586627696468477
8,2,Tottenham,Wembley Stadium,Haringey,3566,65,80,68,12,45.73529411764706,38.0,7.735294117647058,20.356037151702786,1.787004579610119,0.07782175682485083,0.10991254276030038,0.5595328380161312,Medium,False,False,0.0763333390495479,0.4280745466377921,0.09146068158417485
8,2,West Ham,London Stadium,Newham,6912,95,80,67,13,87.8955223880597,78.6923076923077,9.20321469575201,11.695189740447324,1.7336849203587383,0.08692517461846326,0.16273881703618953,0.5254193800832803,Medium,False,False,0.08386894630384052,0.30330841043914,-0.019746450113899285
8,5,Arsenal,Emirates Stadium,Islington,63542,569,80,67,13,818.4179104477612,669.8461538461538,148.57175660160738,22.17998203744713,3.0314353813693624,0.0033024443457479254,0.004286578715699973,0.9187222430890336,Large,True,True,0.18313415404955186,0.40682131007215266,0.2711654308301208
8,5,Chelsea,Stamford Bridge,Hammersmith and Fulham,50940,562,80,68,12,654.6911764705883,535.0833333333334,119.60784313725492,22.353124398801725,3.452124027532372,0.0009013311535583916,0.0018530120939503753,1.0809019609397355,Large,True,True,0.18930110160000024,0.46917592882581793,0.12131831680417961
8,5,Tottenham,Wembley Stadium,Haringey,22852,329,80,68,12,294.9852941176471,232.75,62.23529411764707,26.73911669931131,2.892529714729549,0.004950707393545989,0.007627199985006809,0.9056861850246207,Large,True,True,0.10833526909962786,0.4514838876526805,0.20106429477479482
8,5,West Ham,London Stadium,Newham,48522,567,80,67,13,618.044776119403,547.1538461538462,70.89092996555678,12.956306615383637,2.528440982684619,0.013476107072641451,0.018241235626228904,0.766282199319365,Medium,True,True,0.15409518503544517,0.30048459346457623,0.04557231478781508
8,10,Arsenal,Emirates Stadium,Islington,186573,1889,80,67,13,2386.1194029850744,2054.076923076923,332.04247990815156,16.165046020319704,2.742979901350857,0.007549747568239568,0.022468706341048902,0.8313014564667522,Large,True,True,0.16150871019941213,0.40961481327866633,0.268742758865595
8,10,Chelsea,Stamford Bridge,Hammersmith and Fulham,163383,1708,80,68,12,2093.294117647059,1753.25,340.044117647059,19.395073015660003,2.943198334337561,0.0042770780926355105,0.009125427777428594,0.9215511452217658,Large,True,True,0.1284991518206488,0.4784670283857298,0.14483279437849556
8,10,Tottenham,Wembley Stadium,Haringey,103745,1227,80,68,12,1334.9117647058824,1080.9166666666667,253.9950980392157,23.49812024108078,3.0619511352054465,0.0030164660008668424,0.005858688077372382,0.9587340894906997,Large,True,True,0.14001796672332564,0.4280543037447828,0.18644069913960845
8,10,West Ham,London Stadium,Newham,161908,1770,80,67,13,2070.1641791044776,1785.1538461538462,285.01033295063144,15.965589384057433,2.5741323948001615,0.011942816298221519,0.018244638134682106,0.7801296713409309,Medium,True,True,0.16662625684809218,0.34386818397750857,0.07854095748396007
10,2,Arsenal,Emirates Stadium,Islington,13659,131,100,87,13,139.67816091954023,115.92307692307692,23.755083996463313,20.492109618714206,2.688983010266742,0.00842406578839886,0.0078090700277639495,0.7995704875676324,Medium,True,True,0.14599905340149136,0.28575350516479014,0.11481396871769116
10,2,Chelsea,Stamford Bridge,Hammersmith and Fulham,12463,131,100,88,12,127.125,106.33333333333333,20.79166666666667,19.553291536050164,2.8461218928923917,0.005390139872475381,0.007502237912869285,0.8758334682626132,Large,True,True,0.12726125243494796,0.2962235194546984,0.09090771819326432
10,2,Tottenham,Wembley Stadium,Haringey,4729,65,100,88,12,48.55681818181818,38.0,10.55681818181818,27.781100478468897,2.3681331794761684,0.01984087684991508,0.01595236067400043,0.7287426097483732,Medium,True,True,0.11587521396130501,0.2985653996014999,0.09759524768250351
10,2,West Ham,London Stadium,Newham,8604,95,100,87,13,87.13793103448276,78.6923076923077,8.445623342175068,10.732463680183372,1.6376415002117837,0.1047036336450064,0.19819958544936,0.4869535462983212,Small,False,False,0.10876722322944132,0.2961725476708139,-0.0327384369932113
10,5,Arsenal,Emirates Stadium,Islington,80233,569,100,87,13,822.1264367816092,669.8461538461538,152.28028293545538,22.733620557658703,3.458379972264405,0.0008056838313678663,0.0004923941044758327,1.028351071784303,Large,True,True,0.1779659084761284,0.4088216942086496,0.21617615541272
10,5,Chelsea,Stamford Bridge,Hammersmith and Fulham,63500,562,100,88,12,648.625,535.0833333333334,113.54166666666663,21.21943622488708,3.648661401572416,0.0004247571329161981,0.0006362033622706079,1.1227979299957267,Large,True,True,0.18321938411369273,0.4319266503682804,0.09026596382523365
10,5,Tottenham,Wembley Stadium,Haringey,30014,330,100,88,12,309.32954545454544,232.75,76.57954545454544,32.90206034566936,3.56596989495164,0.0005625500539448173,0.0007428369091358214,1.09735137789253,Large,True,True,0.15342592008404068,0.3248541765508795,0.22548552934694033
