Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2019-11-01T18:20:00+00:00,51.556506,0.067729,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:20:00+00:00
Person search,2019-11-01T18:20:00+00:00,51.498311,-0.071404,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:20:00+00:00
Person search,2019-11-01T18:20:00+00:00,51.429251,-0.039083,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:20:00+00:00
Person search,2019-11-01T18:23:00+00:00,51.575338,0.178037,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:23:00+00:00
Person search,2019-11-01T18:25:00+00:00,51.450769,0.052901,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:25:00+00:00
Person search,2019-11-01T18:25:00+00:00,51.450404,0.058829,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:25:00+00:00
Person search,2019-11-01T18:25:00+00:00,51.497762,-0.076311,Female,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:25:00+00:00
Person search,2019-11-01T18:25:00+00:00,51.617703,-0.227568,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2019-11-01 18:25:00+00:00
Person search,2019-11-01T18:25:00+00:00,51.483622,-0.032733,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:25:00+00:00
Person and Vehicle search,2019-11-01T18:26:00+00:00,51.38202,-0.124151,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:26:00+00:00
Person search,2019-11-01T18:27:00+00:00,51.532927,-0.241576,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,,,2019-11-01 18:27:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.380554,-0.182957,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person and Vehicle search,2019-11-01T18:30:00+00:00,51.478711,0.087481,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.500919,-0.442961,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.555262,-0.214677,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.516701,-0.18524,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.561402,-0.220453,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.516701,-0.18524,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.561402,-0.220453,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Fireworks,Arrest,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.509609,-0.209992,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.555262,-0.214677,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.522147,-0.109836,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,,,2019-11-01 18:30:00+00:00
Person and Vehicle search,2019-11-01T18:30:00+00:00,51.394814,-0.174098,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,,2019-11-01 18:30:00+00:00
Person and Vehicle search,2019-11-01T18:30:00+00:00,51.53333,-0.118024,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,51.403345,0.010663,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,2019-11-01 18:30:00+00:00
