Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2025-01-23T16:34:29+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-23 16:34:29+00:00
Person search,2025-01-23T17:02:22+00:00,51.514975,-0.088456,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False,2025-01-23 17:02:22+00:00
Person search,2025-01-23T17:06:51+00:00,51.518948,-0.090553,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2025-01-23 17:06:51+00:00
Person and Vehicle search,2025-01-23T22:49:12+00:00,51.514975,-0.088456,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-23 22:49:12+00:00
Person search,2025-01-24T00:36:35+00:00,51.510864,-0.089479,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2025-01-24 00:36:35+00:00
Person search,2025-01-24T06:40:20+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Community resolution,True,False,2025-01-24 06:40:20+00:00
Person search,2025-01-24T07:53:31+00:00,51.510725,-0.084844,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-24 07:53:31+00:00
Person search,2025-01-24T12:22:07+00:00,51.513647,-0.07433,Female,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-24 12:22:07+00:00
Person search,2025-01-24T18:49:50+00:00,51.51777,-0.078495,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False,2025-01-24 18:49:50+00:00
Person and Vehicle search,2025-01-24T19:34:00+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-24 19:34:00+00:00
Person search,2025-01-24T19:48:30+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-24 19:48:30+00:00
Person search,2025-01-24T20:53:43+00:00,,,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-24 20:53:43+00:00
Person search,2025-01-24T21:48:29+00:00,51.513736,-0.095224,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2025-01-24 21:48:29+00:00
Person search,2025-01-24T22:12:58+00:00,51.51636,-0.082993,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-24 22:12:58+00:00
Person search,2025-01-25T01:11:13+00:00,,,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-25 01:11:13+00:00
Person search,2025-01-25T14:34:17+00:00,51.509797,-0.0836,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2025-01-25 14:34:17+00:00
Person and Vehicle search,2025-01-25T15:39:37+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2025-01-25 15:39:37+00:00
Person and Vehicle search,2025-01-25T19:41:14+00:00,51.514742,-0.072148,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,False,False,2025-01-25 19:41:14+00:00
Person search,2025-01-25T19:48:58+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2025-01-25 19:48:58+00:00
Person and Vehicle search,2025-01-26T00:27:28+00:00,51.515383,-0.078783,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False,2025-01-26 00:27:28+00:00
Person search,2025-01-26T00:32:49+00:00,51.513736,-0.095224,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2025-01-26 00:32:49+00:00
Person and Vehicle search,2025-01-26T00:34:21+00:00,51.515383,-0.078783,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-26 00:34:21+00:00
